term,estimate,std.error,p.value,outcome
yearB2,-2.4651674720561965,1.1680968856934282,0.035106335206446876,cesd
yearB3,-3.7812866037453103,1.1470582723334175,0.0010184111587928605,cesd
yearM1,-5.186517212685127,1.2061126031679699,1.898685530303167e-5,cesd
yearM2,-6.075524753902813,1.1938382479593954,4.406080725442048e-7,cesd
yearM3,-7.451766052949741,1.2480104854050453,3.4283537745300725e-9,cesd
sexFemale,5.468112506551219,0.7937119904792691,1.0720687767885512e-11,cesd
yearB2,-0.9332712509932808,1.2327006142212222,0.4491971051096876,stai_t
yearB3,-1.276928237405664,1.2104984219811046,0.29177260807283717,stai_t
yearM1,-3.208658613541241,1.27281886028016,0.011882195321919729,stai_t
yearM2,-3.6389105251527543,1.2598656494719682,0.003968538381092198,stai_t
yearM3,-4.983265199237541,1.3170339813037482,1.650438316275475e-4,stai_t
sexFemale,6.505456143495532,0.8376096796095143,2.2529832449190215e-14,stai_t
yearB2,0.9260283234153058,0.5364979267968705,0.08468979302018406,mbi_ex
yearB3,0.3507934705365924,0.5268350532899129,0.5056822501882093,mbi_ex
yearM1,-1.08313484239834,0.5539582538130491,0.05087023016123139,mbi_ex
yearM2,-2.297375706187505,0.5483207367519028,3.075052078948246e-5,mbi_ex
yearM3,-3.391948915335451,0.573201629283592,4.68872413395003e-9,mbi_ex
sexFemale,1.7321936534252116,0.36454582028369925,2.3580315951559e-6,mbi_ex
yearB2,-0.9284369018608661,0.48932314276649036,0.058105825453828405,mbi_cy
yearB3,-0.1820563612906833,0.4805099351166316,0.7048678273931679,mbi_cy
yearM1,0.6298207101593698,0.505248166261543,0.21289390915097323,mbi_cy
yearM2,1.0884740986322592,0.5001063615536857,0.02978608757709102,mbi_cy
yearM3,0.20869653431130764,0.5227994530277391,0.6898504193191701,mbi_cy
sexFemale,0.10476582993057905,0.332490952068761,0.7527656660600937,mbi_cy
yearB2,0.2923936387758471,0.496522216080314,0.5560917272530788,mbi_ea
yearB3,-0.09425041230876337,0.4875793457955703,0.8467668104128668,mbi_ea
yearM1,-0.16732548726356603,0.512681533443049,0.7442201838600372,mbi_ea
yearM2,-0.15747424654568198,0.5074640809151275,0.7563946124172458,mbi_ea
yearM3,0.17224447834541343,0.5304910401648095,0.7454943389640727,mbi_ea
sexFemale,-0.30171368076930255,0.33738266172016473,0.3714196951345622,mbi_ea
yearB2,4.0145644984589275,0.8714947015624865,4.702920188824156e-6,jspe
yearB3,7.800401394611655,0.8557981953085668,5.284903265717935e-19,jspe
yearM1,7.880848524993985,0.8998574998551059,1.0176193317388309e-17,jspe
yearM2,6.518470445454472,0.8906998386538961,5.687337016818896e-13,jspe
yearM3,7.4637332513880486,0.9311167068810917,3.4924038879736366e-15,jspe
sexFemale,2.745440006158915,0.5921733057773442,4.089840122970886e-6,jspe
yearB2,1.3303053077738267,0.6994984337112169,0.057526023896432465,qcae_cog
yearB3,2.1857063005806623,0.6868997552342624,0.0015143340229219473,qcae_cog
yearM1,0.6922085354646386,0.722263612829098,0.33813234809056536,qcae_cog
yearM2,2.0638678872398675,0.7149132873994432,0.003986741416966794,qcae_cog
yearM3,1.57361787308205,0.7473535718552734,0.03552501047031353,qcae_cog
sexFemale,1.7436801658356802,0.47530329115505887,2.586764236833267e-4,qcae_cog
yearB2,1.0891812056864563,0.5357273833706361,0.04234532499634206,qcae_aff
yearB3,1.9679052011131095,0.5260783881347536,1.95470823237366e-4,qcae_aff
yearM1,1.4558338178315315,0.5531626330481518,0.008642172451486577,qcae_aff
yearM2,1.517406070270604,0.547533212852799,0.0057010117631609465,qcae_aff
yearM3,1.0989403845125278,0.5723783702824093,0.05518887649010029,qcae_aff
sexFemale,4.263965721931214,0.3640222425188085,1.5394184017902726e-29,qcae_aff
yearB2,-1.1144575455833357,0.5305735475506664,0.0359728940039354,amsp
yearB3,-0.40181847500305223,0.5210173781415328,0.4407856086687495,amsp
yearM1,-1.0983655160789123,0.5478410656223182,0.0452819218247084,amsp
yearM2,-0.49408603791885597,0.5422658019034663,0.3624670345355576,amsp
yearM3,-0.4002454533289139,0.5668719425004708,0.4803391497088626,amsp
sexFemale,-1.5000741202033714,0.3605202545096177,3.4838205495024637e-5,amsp
yearB2,-0.00855723902797098,0.009727720835705021,0.37927685022713375,erec_mean
yearB3,0.014135723164048925,0.009552514686246771,0.13928943681091435,erec_mean
yearM1,0.03062411989822074,0.010044309546359653,0.002365994214267068,erec_mean
yearM2,0.029446471398291974,0.009942090712999428,0.003141287269307189,erec_mean
yearM3,0.005669950710000931,0.010393228293598298,0.5855194619025923,erec_mean
sexFemale,0.04291073532286756,0.006609904334048966,1.419581149579293e-10,erec_mean
