outcome,term,β,std.error,eta
cesd,yearB2,-0.08*,1.17,0.06
cesd,yearB3,-0.12**,1.15,0.06
cesd,yearM1,-0.16***,1.21,0.06
cesd,yearM2,-0.19***,1.19,0.06
cesd,yearM3,-0.22***,1.25,0.06
cesd,sexFemale,0.22***,0.79,0.05
stai_t,yearB2,-0.03,1.23,0.03
stai_t,yearB3,-0.04,1.21,0.03
stai_t,yearM1,-0.09*,1.27,0.03
stai_t,yearM2,-0.11**,1.26,0.03
stai_t,yearM3,-0.14***,1.32,0.03
stai_t,sexFemale,0.25***,0.84,0.06
mbi_ex,yearB2,0.06,0.54,0.08
mbi_ex,yearB3,0.02,0.53,0.08
mbi_ex,yearM1,-0.07,0.55,0.08
mbi_ex,yearM2,-0.15***,0.55,0.08
mbi_ex,yearM3,-0.21***,0.57,0.08
mbi_ex,sexFemale,0.15***,0.36,0.03
mbi_cy,yearB2,-0.07,0.49,0.02
mbi_cy,yearB3,-0.01,0.48,0.02
mbi_cy,yearM1,0.05,0.51,0.02
mbi_cy,yearM2,0.08*,0.5,0.02
mbi_cy,yearM3,0.02,0.52,0.02
mbi_cy,sexFemale,0.01,0.33,0
mbi_ea,yearB2,0.02,0.5,0
mbi_ea,yearB3,-0.01,0.49,0
mbi_ea,yearM1,-0.01,0.51,0
mbi_ea,yearM2,-0.01,0.51,0
mbi_ea,yearM3,0.01,0.53,0
mbi_ea,sexFemale,-0.03,0.34,0
jspe,yearB2,0.17***,0.87,0.13
jspe,yearB3,0.33***,0.86,0.13
jspe,yearM1,0.31***,0.9,0.13
jspe,yearM2,0.26***,0.89,0.13
jspe,yearM3,0.28***,0.93,0.13
jspe,sexFemale,0.15***,0.59,0.02
qcae_cog,yearB2,0.07,0.7,0.01
qcae_cog,yearB3,0.12**,0.69,0.01
qcae_cog,yearM1,0.04,0.72,0.01
qcae_cog,yearM2,0.11**,0.71,0.01
qcae_cog,yearM3,0.08*,0.75,0.01
qcae_cog,sexFemale,0.12***,0.48,0.02
qcae_aff,yearB2,0.07*,0.54,0.01
qcae_aff,yearB3,0.14***,0.53,0.01
qcae_aff,yearM1,0.09**,0.55,0.01
qcae_aff,yearM2,0.1**,0.55,0.01
qcae_aff,yearM3,0.07,0.57,0.01
qcae_aff,sexFemale,0.37***,0.36,0.14
amsp,yearB2,-0.08*,0.53,0.01
amsp,yearB3,-0.03,0.52,0.01
amsp,yearM1,-0.08*,0.55,0.01
amsp,yearM2,-0.03,0.54,0.01
amsp,yearM3,-0.03,0.57,0.01
amsp,sexFemale,-0.14***,0.36,0.02
erec_mean,yearB2,-0.03,0.01,0.02
erec_mean,yearB3,0.06,0.01,0.02
erec_mean,yearM1,0.11**,0.01,0.02
erec_mean,yearM2,0.11**,0.01,0.02
erec_mean,yearM3,0.02,0.01,0.02
erec_mean,sexFemale,0.21***,0.01,0.05
