empathy,outcome,estimate,p_stars,std.error,eta2,F_stat,R2
jspe,cesd,-0.04,,0.05,0,15.42,0.11
jspe,stai_t,-0.07,*,0.05,0,12.93,0.09
jspe,mbi_ex,-0.02,,0.02,0,13.87,0.1
jspe,mbi_cy,-0.03,,0.02,0,2.32,0.02
jspe,mbi_ea,0.11,**,0.02,0.01,1.69,0.01
qcae_cog,cesd,-0.04,,0.06,0,15.49,0.11
qcae_cog,stai_t,-0.1,**,0.06,0.01,13.69,0.1
qcae_cog,mbi_ex,-0.03,,0.03,0,13.97,0.1
qcae_cog,mbi_cy,-0.03,,0.02,0,2.28,0.02
qcae_cog,mbi_ea,0.19,***,0.02,0.04,5.02,0.04
qcae_aff,cesd,0.22,***,0.07,0.05,22.15,0.15
qcae_aff,stai_t,0.29,***,0.07,0.08,24.3,0.16
qcae_aff,mbi_ex,0.19,***,0.03,0.03,18.66,0.13
qcae_aff,mbi_cy,0.13,***,0.03,0.02,4.22,0.03
qcae_aff,mbi_ea,-0.11,**,0.03,0.01,1.64,0.01
amsp,cesd,-0.13,***,0.07,0.02,17.78,0.12
amsp,stai_t,-0.22,***,0.08,0.05,19.78,0.14
amsp,mbi_ex,-0.04,,0.03,0,14.09,0.1
amsp,mbi_cy,-0.02,,0.03,0,2.26,0.02
amsp,mbi_ea,0.22,***,0.03,0.05,6.44,0.05
erec_mean,cesd,-0,,4.06,0,15.26,0.11
erec_mean,stai_t,-0.01,,4.29,0,12.29,0.09
erec_mean,mbi_ex,-0.01,,1.87,0,13.84,0.1
erec_mean,mbi_cy,0.04,,1.7,0,2.41,0.02
erec_mean,mbi_ea,-0.02,,1.73,0,0.31,0
